-10,-8,-7,-3,1,4,7,9,7,3,-3,-8,-5,-3,0,2,4,6,8,9,8,5,2,-3,-8,-7,-3,3,9,13,16
5,6,8,12,14,16,18,20,18,14,10,5,4,7,9,11,12,14,16,17,16,13,9,4,-1,-5,-3,2,7,10,13
12,14,16,18,20,22,24,26,24,19,15,10,9,12,14,16,18,20,22,24,26,24,19,15,10,5,3,9,13,16,18
18,20,21,23,24,26,28,29,28,23,19,14,14,17,19,21,23,24,26,28,29,28,23,19,14,8,6,11,14,17,20
22,24,25,26,27,29,31,32,31,26,23,18,18,20,21,23,24,26,28,29,31,32,31,26,23,18,11,8,13,16,19
25,27,27,28,29,31,32,33,33,29,26,21,21,23,24,26,27,29,31,32,33,33,29,26,21,13,10,13,16,19,22
27,29,29,30,31,32,33,34,33,29,26,21,21,22,24,26,27,29,31,32,33,34,33,29,24,16,12,14,17,20,23
26,28,28,29,30,31,32,33,31,28,25,20,20,22,23,25,26,28,30,31,32,33,31,28,23,15,11,14,16,19,22
22,24,24,25,26,28,30,31,29,26,22,17,17,19,21,23,24,26,28,30,31,29,26,22,16,9,6,8,9,12,14
15,17,17,18,19,21,23,24,23,20,17,11,10,13,15,17,18,19,21,23,24,23,20,17,11,2,0,4,9,13,16
6,8,9,11,12,14,16,17,16,13,9,4,2,5,8,11,12,14,16,17,16,13,9,4,-2,-7,-3,1,5,8,11
-5,-3,0,2,4,6,8,9,8,5,2,5,8,11,12,14,16,17,16,13,9,4,-2,-7,-3,1,5,8,11
